PCRID	ID	Sample_type	Locality	Latitude	Longitude	Atitude	Country	Date	Root	Tree_size	Tree_species	Forest_type
D82	CAC_1	Soil	Cambria	35.538083	-121.082017	94.037014	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
E54	CAC_1	Root	Cambria	35.538083	-121.082017	94.037014	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
D53	CAC_10	Soil	Cambria	35.539975	-121.082017	77.935878	USA	9/7/18	N	big	Pinus_radiata	Native_Pinus_radiata
E55	CAC_2	Root	Cambria	35.538083	-121.08208	90.3658	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
D86	CAC_2	Soil	Cambria	35.538083	-121.08208	90.3658	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
D50	CAC_3	Soil	Cambria	35.537975	-121.082108	83.988	USA	9/7/18	N	small	Pinus_radiata	Native_Pinus_radiata
D81	CAC_4	Soil	Cambria	35.5379	-121.08205	85.662	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E56	CAC_4	Root	Cambria	35.5379	-121.08205	85.662	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
D92	CAC_5	Soil	Cambria	35.538325	-121.822	90.738007	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E57	CAC_5	Root	Cambria	35.538325	-121.822	90.738007	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
D101	CAC_6	Soil	Cambria	35.539487	-121.081664	81.193324	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
E58	CAC_6	Root	Cambria	35.539487	-121.081664	81.193324	USA	9/7/18	Y	small	Pinus_radiata	Native_Pinus_radiata
D91	CAC_7	Soil	Cambria	35.539638	-121.081603	102.01626	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E59	CAC_7	Root	Cambria	35.539638	-121.081603	102.01626	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E60	CAC_8	Root	Cambria	35.539517	-121.081886	93.854214	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E61	CAC_9	Root	Cambria	35.53958	-121.082017	84.85159	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
D80	CAC_9	Soil	Cambria	35.53958	-121.082017	84.85159	USA	9/7/18	Y	big	Pinus_radiata	Native_Pinus_radiata
D98	CAM_1	Soil	Monterey	36.56777	-121.862962	222.703488	USA	9/8/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E49	CAM_1	Root	Monterey	36.56777	-121.862962	222.703488	USA	9/8/18	Y	big	Pinus_radiata	Native_Pinus_radiata
E50	CAM_2	Root	Monterey	36.5681	-121.863517	227.255172	USA	9/8/18	Y	small	Pinus_radiata	Native_Pinus_radiata
D103	CAM_2	Soil	Monterey	36.5681	-121.863517	227.255172	USA	9/8/18	Y	small	Pinus_radiata	Native_Pinus_radiata
